latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.22842,133.00629,328.72,1.09,1.04,2022-02-26,0113,T,78,6.1NRT,300.22,16.74,D
-14.20253,132.33907,322.3,1.17,1.08,2022-02-26,0113,T,69,6.1NRT,299.69,7.64,D
-15.05621,133.4082,322.88,1.04,1.02,2022-02-26,0113,T,67,6.1NRT,302.12,9.31,D
-15.05768,133.41783,335.42,1.04,1.02,2022-02-26,0113,T,84,6.1NRT,301.95,26,D
-15.06684,133.4164,320.85,1.04,1.02,2022-02-26,0113,T,61,6.1NRT,299.91,7.06,D
-15.80076,135.39615,324.76,1.02,1.01,2022-02-26,0113,T,72,6.1NRT,299.01,10.71,D
-15.8021,135.40562,339.76,1.02,1.01,2022-02-26,0113,T,88,6.1NRT,299.54,31.4,D
-15.80345,135.41507,328.43,1.02,1.01,2022-02-26,0113,T,77,6.1NRT,298.77,14.09,D
-15.91052,135.58701,318.98,1.03,1.01,2022-02-26,0113,T,61,6.1NRT,292.53,7.95,D
-16.12703,135.62076,323.53,1.03,1.02,2022-02-26,0113,T,65,6.1NRT,297.72,9.98,D
-16.15071,135.65636,320.59,1.04,1.02,2022-02-26,0113,T,39,6.1NRT,295.6,7.01,D
-16.15207,135.66597,322.75,1.04,1.02,2022-02-26,0113,T,67,6.1NRT,295.28,9.58,D
37.12707,140.2972,302.79,1.76,1.3,2022-02-26,0100,T,51,6.1NRT,284.52,13.66,D
37.12526,140.31677,301.18,1.76,1.3,2022-02-26,0100,T,45,6.1NRT,283.99,12.06,D
37.12344,140.33633,303.05,1.75,1.3,2022-02-26,0100,T,54,6.1NRT,284.25,13.76,D
35.33847,138.87395,304.29,2.06,1.4,2022-02-26,0100,T,54,6.1NRT,281.55,22.8,D
35.28101,138.80186,355.19,2.08,1.4,2022-02-26,0100,T,98,6.1NRT,282.04,220.82,D
35.27931,138.82291,408.63,2.07,1.4,2022-02-26,0100,T,100,6.1NRT,291.19,899.18,D
35.2803,138.79501,310.84,2.08,1.4,2022-02-26,0100,T,54,6.1NRT,278.87,33.95,D
35.27845,138.81627,411.97,2.07,1.4,2022-02-26,0100,T,100,6.1NRT,292.05,967.75,D
35.27663,138.83725,359.68,2.07,1.4,2022-02-26,0100,T,94,6.1NRT,280.14,246.64,D
35.27295,138.87947,352.9,2.05,1.39,2022-02-26,0100,T,92,6.1NRT,277.78,195.4,D
35.27108,138.90089,321.33,2.04,1.39,2022-02-26,0100,T,61,6.1NRT,281.94,54.31,D
